"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1986-Q4","Q4-1986","1","RATIOS","0","Units",,,75.8676140795267,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1987","1987","1","RATIOS","0","Units",,,79.6682270063182,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1987-Q1","Q1-1987","1","RATIOS","0","Units",,,78.8966502262325,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1987-Q2","Q2-1987","1","RATIOS","0","Units",,,79.0541826823124,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1987-Q3","Q3-1987","1","RATIOS","0","Units",,,79.5975961563223,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1987-Q4","Q4-1987","1","RATIOS","0","Units",,,81.1244789604058,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1988","1988","1","RATIOS","0","Units",,,87.5734608947738,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1988-Q1","Q1-1988","1","RATIOS","0","Units",,,86.2696974890147,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1988-Q2","Q2-1988","1","RATIOS","0","Units",,,86.7627569032054,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1988-Q3","Q3-1988","1","RATIOS","0","Units",,,87.1865429941135,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1988-Q4","Q4-1988","1","RATIOS","0","Units",,,90.0748461927615,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1989","1989","1","RATIOS","0","Units",,,92.7189745780474,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1989-Q1","Q1-1989","1","RATIOS","0","Units",,,95.6040825293866,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1989-Q2","Q2-1989","1","RATIOS","0","Units",,,87.9492553394992,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1989-Q3","Q3-1989","1","RATIOS","0","Units",,,92.7411202808343,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1989-Q4","Q4-1989","1","RATIOS","0","Units",,,94.5814401624695,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1990","1990","1","RATIOS","0","Units",,,86.0472495781239,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1990-Q1","Q1-1990","1","RATIOS","0","Units",,,87.8686413891363,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1990-Q2","Q2-1990","1","RATIOS","0","Units",,,86.2948469589835,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1990-Q3","Q3-1990","1","RATIOS","0","Units",,,86.3695582108976,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1990-Q4","Q4-1990","1","RATIOS","0","Units",,,83.6559517534782,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1991","1991","1","RATIOS","0","Units",,,87.8435305482412,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1991-Q1","Q1-1991","1","RATIOS","0","Units",,,86.7837593085255,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1991-Q2","Q2-1991","1","RATIOS","0","Units",,,91.7382311083838,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1991-Q3","Q3-1991","1","RATIOS","0","Units",,,86.7798791957084,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1991-Q4","Q4-1991","1","RATIOS","0","Units",,,86.0722525803471,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1992","1992","1","RATIOS","0","Units",,,87.4668065431153,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1992-Q1","Q1-1992","1","RATIOS","0","Units",,,86.9741003026595,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1992-Q2","Q2-1992","1","RATIOS","0","Units",,,87.1097110060196,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1992-Q3","Q3-1992","1","RATIOS","0","Units",,,86.6928811455482,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1992-Q4","Q4-1992","1","RATIOS","0","Units",,,89.0905337182339,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1993","1993","1","RATIOS","0","Units",,,87.1935588292139,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1993-Q1","Q1-1993","1","RATIOS","0","Units",,,88.1549470365286,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1993-Q2","Q2-1993","1","RATIOS","0","Units",,,85.1640771103368,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1993-Q3","Q3-1993","1","RATIOS","0","Units",,,87.5458458669576,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1993-Q4","Q4-1993","1","RATIOS","0","Units",,,87.9093653030327,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1994","1994","1","RATIOS","0","Units",,,89.4423143509668,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1994-Q1","Q1-1994","1","RATIOS","0","Units",,,90.5194519981264,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1994-Q2","Q2-1994","1","RATIOS","0","Units",,,89.1724247013379,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1994-Q3","Q3-1994","1","RATIOS","0","Units",,,89.3004625758601,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1994-Q4","Q4-1994","1","RATIOS","0","Units",,,88.7769181285428,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1995","1995","1","RATIOS","0","Units",,,84.1920266449732,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1995-Q1","Q1-1995","1","RATIOS","0","Units",,,85.4472293761952,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1995-Q2","Q2-1995","1","RATIOS","0","Units",,,82.5662695290779,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1995-Q3","Q3-1995","1","RATIOS","0","Units",,,84.8076855086594,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1995-Q4","Q4-1995","1","RATIOS","0","Units",,,83.94692216596,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1996","1996","1","RATIOS","0","Units",,,83.4842228007066,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1996-Q1","Q1-1996","1","RATIOS","0","Units",,,83.1953004729412,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1996-Q2","Q2-1996","1","RATIOS","0","Units",,,83.8369431331014,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1996-Q3","Q3-1996","1","RATIOS","0","Units",,,83.7697058317549,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1996-Q4","Q4-1996","1","RATIOS","0","Units",,,83.1349417650287,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1997","1997","1","RATIOS","0","Units",,,83.2690770998629,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1997-Q1","Q1-1997","1","RATIOS","0","Units",,,83.9127082321718,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1997-Q2","Q2-1997","1","RATIOS","0","Units",,,84.3727817694629,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1997-Q3","Q3-1997","1","RATIOS","0","Units",,,82.5698213117363,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1997-Q4","Q4-1997","1","RATIOS","0","Units",,,82.2209970860806,,
